Aug,7.0,Spokane,Railroad,47.447845,-117.712047,2,8,2
Jul,35.0,Klickitat,Lightning,45.803873,-120.461307,4,5,3
Jul,8.0,Cowlitz,Debris Burn,46.041805,-122.315411,3,3,2
Jul,25.0,Cowlitz,Arson,46.05251,-122.854142,3,3,3
Oct,30.0,Stevens,Miscellaneou,48.080382,-118.201684,1,7,3
Aug,6.0,Cowlitz,Children,45.989167,-122.772728,4,3,2
May,11.0,Whatcom,Debris Burn,48.811184,-122.321906,1,3,3
Oct,100.0,Spokane,Recreation,47.587042,-117.29267,2,8,5
Aug,23105.0,Okanogan,Lightning,48.674355,-119.283941,1,6,8
Jul,45.0,Klickitat,Recreation,45.788668,-120.957482,4,5,3
Aug,8.0,Okanogan,Miscellaneou,48.769071,-119.426454,1,6,2
Jul,19.5,Pierce,Children,47.089966,-122.643841,2,3,3
Jul,10.0,Chelan,Miscellaneou,47.929429,-119.960824,2,6,3
Aug,70.0,Spokane,Miscellaneou,47.615909,-117.709072,2,8,4
Apr,12.0,Stevens,Debris Burn,48.383009,-117.855313,1,8,3
Aug,7.5,Mason,Arson,47.147588,-123.459175,2,2,2
Apr,15.0,Mason,Debris Burn,47.22154,-123.044597,2,2,3
Sep,35.0,Spokane,Miscellaneou,47.691545,-117.338605,2,8,3
Aug,10.1,Spokane,Miscellaneou,47.345443,-117.57696,2,8,3
Jul,25.0,Spokane,Lightning,47.312976,-117.668791,2,8,3
Oct,4760.0,Spokane,Miscellaneou,47.869275,-117.473267,2,8,7
Aug,130.0,Stevens,Miscellaneou,48.444995,-118.095312,1,7,5
Jul,6.0,Lewis,Lightning,46.433057,-122.107367,3,3,2
Sep,15.0,Skamania,Miscellaneou,45.75154,-121.529922,4,4,3
Feb,40.0,Pacific,Debris Burn,46.672124,-123.685017,3,2,3
Apr,8.0,Stevens,Debris Burn,48.483946,-117.792169,1,8,2
Sep,55.0,Lincoln,Miscellaneou,47.793633,-118.154666,2,7,4
Sep,9.9,Thurston,Railroad,46.917996,-122.851902,3,3,2
Aug,7.0,Cowlitz,Recreation,46.176136,-123.028657,3,2,2
Aug,36.0,Spokane,Miscellaneou,47.794792,-117.293513,2,8,3
Aug,34.0,Thurston,Miscellaneou,46.89284,-123.053191,3,2,3
Apr,6.0,Ferry,Recreation,48.546134,-118.133634,1,7,2
Aug,12.0,Pacific,Debris Burn,46.568566,-123.630136,3,2,3
May,135.0,Skagit,Debris Burn,48.535009,-121.690481,1,4,5
May,16.0,Pierce,Debris Burn,47.090122,-122.0697,2,3,3
Aug,160.0,Whitman,Debris Burn,47.257416,-117.075353,2,8,5
Jun,15.0,Klickitat,Children,45.723224,-121.468331,4,4,3
Sep,5.2,Okanogan,Miscellaneou,48.418125,-120.307019,1,5,2
Apr,7.0,Spokane,Children,47.780028,-117.336023,2,8,2
Aug,50.0,Stevens,Railroad,48.072356,-117.755156,1,8,4
Aug,100.0,Kittitas,Railroad,47.126362,-120.738058,2,5,5
Jul,7.0,Yakima,Smoker,46.803392,-120.921881,3,5,2
Sep,22.0,Spokane,Railroad,47.567212,-117.225036,2,8,3
Jul,187.0,Chelan,Miscellaneou,47.785055,-120.140795,2,5,5
Jul,62.0,Cowlitz,Debris Burn,46.29307,-122.709039,3,3,4
Sep,15.0,Klickitat,Smoker,45.7173,-121.41425,4,4,3
Apr,6.0,Pend Oreille,Debris Burn,48.301475,-117.200596,1,8,2
Jul,7.0,Spokane,Miscellaneou,47.563415,-117.311763,2,8,2
Aug,10.0,Chelan,Miscellaneou,47.267808,-120.210441,2,5,3
Aug,8.9,Spokane,Miscellaneou,47.527386,-117.685223,2,8,2
Aug,10.0,Chelan,Miscellaneou,47.547659,-120.552778,2,5,3
Apr,10.0,Spokane,Debris Burn,47.505202,-117.306536,2,8,3
May,63.0,Skagit,Logging,48.611097,-122.343206,1,3,4
Aug,6.0,Klickitat,Miscellaneou,45.704932,-121.437276,4,4,2
Aug,8.2,Chelan,Miscellaneou,47.923666,-120.061092,2,5,2
Jul,100.0,Kittitas,Recreation,47.223164,-120.187625,2,5,5
Oct,125.0,Kittitas,Miscellaneou,46.932427,-120.615866,3,5,5
Aug,8.0,Stevens,Lightning,48.156598,-117.558735,1,8,2
Mar,7.0,Clallam,Miscellaneou,48.016399,-123.332152,1,2,2
Sep,700.0,Chelan,Miscellaneou,47.866039,-119.931924,2,6,6
Aug,14.0,Mason,Miscellaneou,47.23207,-123.116624,2,2,3
Aug,30.0,Spokane,Miscellaneou,47.356821,-117.641969,2,8,3
Jun,8.0,Okanogan,Arson,48.790588,-119.459438,1,6,2
Jul,703.0,Stevens,Debris Burn,48.520164,-117.744501,1,8,6
Feb,7.0,Clallam,Miscellaneou,48.174512,-124.120645,1,1,2
Oct,32.4,Clallam,Debris Burn,48.059625,-124.611968,1,1,3
Sep,7.0,Lewis,Recreation,46.451401,-122.034213,3,3,2
Aug,44.0,Klickitat,Lightning,46.028463,-121.320788,3,4,3
Jul,150.0,Yakima,Children,46.832057,-120.961864,3,5,5
Aug,8.0,Spokane,Railroad,47.458436,-117.685269,2,8,2
Jul,10.0,Klickitat,Miscellaneou,45.844495,-120.934163,4,5,3
Jul,280.0,Klickitat,Miscellaneou,45.829318,-120.581003,4,5,5
Aug,750.0,Spokane,Miscellaneou,47.86752,-117.680247,2,8,6
Oct,35.0,Spokane,Debris Burn,47.86752,-117.680247,2,8,3
Jul,60.0,Chelan,Arson,47.966337,-120.281509,2,5,4
Jul,7.0,Grays Harbor,Logging,47.239455,-124.197421,2,1,2
Nov,12.0,Cowlitz,Debris Burn,45.994417,-122.450046,4,3,3
Jun,25.0,Yakima,Miscellaneou,46.809644,-120.659574,3,5,3
Jun,10.5,Pierce,Debris Burn,46.756467,-122.055185,3,3,3
Aug,9.6,Stevens,Miscellaneou,48.610872,-117.803871,1,8,2
Sep,16.0,King,Miscellaneou,47.493163,-121.745149,2,4,3
Oct,8.0,Grays Harbor,Debris Burn,47.018288,-123.657662,2,2,2
Aug,9.1,Yakima,Lightning,46.054063,-121.325834,3,4,2
Jul,13.0,Okanogan,Miscellaneou,48.289964,-120.097901,1,5,3
Sep,95.0,Stevens,Miscellaneou,47.867173,-117.615857,2,8,4
Aug,6.0,Spokane,Arson,47.572818,-117.575392,2,8,2
Aug,80.0,Spokane,Miscellaneou,47.693689,-117.57199,2,8,4
Apr,9.0,Pend Oreille,Debris Burn,48.231617,-117.187279,1,8,2
Jul,9.0,Okanogan,Miscellaneou,48.631427,-119.389994,1,6,2
Apr,6.0,Stevens,Debris Burn,48.840334,-117.782809,1,8,2
Aug,6.5,Thurston,Miscellaneou,46.93256,-122.788872,3,3,2
Oct,922.8,Chelan,Miscellaneou,47.695181,-120.504028,2,5,6
Aug,66.1,Ferry,Miscellaneou,48.746132,-118.650908,1,7,4
Jul,7.3,Pacific,Miscellaneou,46.488426,-124.036823,3,1,2
Jul,33.0,Thurston,Miscellaneou,46.837963,-122.90567,3,3,3
Oct,7.3,Cowlitz,Debris Burn,46.34188,-122.701487,3,3,2
Aug,735.0,Kittitas,Logging,47.297948,-120.911542,2,5,6
Aug,8.0,Stevens,Arson,48.608827,-118.11296,1,7,2
Oct,159.0,Stevens,Miscellaneou,48.047751,-118.217785,1,7,5
Apr,62.0,Okanogan,Debris Burn,48.807158,-119.37468,1,6,4
Aug,665.0,Okanogan,Miscellaneou,48.807158,-119.37468,1,6,6
Sep,12.0,Okanogan,Recreation,48.556137,-119.552081,1,6,3
Aug,147.0,Garfield,Lightning,46.257485,-117.429837,3,8,5
Sep,55.0,Spokane,Arson,47.563458,-117.317221,2,8,4
Mar,6.0,Lewis,Debris Burn,46.44,-122.972678,3,3,2
Oct,6.4,Spokane,Debris Burn,47.495655,-117.46836,2,8,2
Mar,41.0,Stevens,Debris Burn,48.353338,-118.163694,1,7,3
Jul,300.0,Yakima,Arson,46.744254,-120.790885,3,5,5
Jun,32.4,Okanogan,Debris Burn,48.501978,-119.513385,1,6,3
Feb,8.0,Whatcom,Miscellaneou,48.870987,-122.285092,1,3,2
Apr,45.0,Ferry,Debris Burn,48.777004,-118.693049,1,7,3
Aug,7.0,Okanogan,Miscellaneou,48.801492,-119.470388,1,6,2
Jul,20.0,Lincoln,Lightning,47.735561,-118.342274,2,7,3
Sep,24.3,Mason,Arson,47.424351,-122.996583,2,3,3
Aug,600.0,Chelan,Miscellaneou,47.860974,-119.972487,2,6,6
Jul,40.0,Spokane,Miscellaneou,47.513749,-117.468212,2,8,3
Jul,9.0,Ferry,Recreation,48.646661,-118.206256,1,7,2
Aug,35.0,Okanogan,None,48.63361,-119.939538,1,6,3
Oct,10.0,Grays Harbor,Debris Burn,47.096402,-123.6666,2,2,3
Sep,7.7,Snohomish,Miscellaneou,47.945614,-121.769824,2,4,2
Apr,65.0,Stevens,Debris Burn,48.004683,-117.743899,1,8,4
Jun,7.0,Okanogan,Logging,48.895229,-119.796577,1,6,2
Sep,20.0,Spokane,Arson,47.573172,-117.401258,2,8,3
Jul,9.5,Spokane,Recreation,47.620388,-117.100019,2,8,2
May,13.0,Clallam,Miscellaneou,48.072438,-124.378882,1,1,3
Sep,40.0,Chelan,Smoker,47.312525,-120.454379,2,5,3
Aug,40.0,King,Miscellaneou,47.334009,-122.5168,2,3,3
Jul,7.0,Spokane,Recreation,47.265037,-117.442953,2,8,2
Aug,48.0,Okanogan,Lightning,48.563014,-118.943411,1,7,3
Sep,9.0,Spokane,Arson,47.488809,-117.510724,2,8,2
Sep,6.0,Skagit,Debris Burn,48.565853,-121.908404,1,4,2
Aug,6.5,Spokane,Miscellaneou,47.800194,-117.28574,2,8,2
Jun,44.0,Stevens,Smoker,48.157388,-117.639156,1,8,3
Aug,30.0,Grays Harbor,Debris Burn,46.860426,-123.999898,3,2,3
Mar,80.0,Ferry,Debris Burn,48.782059,-118.601166,1,7,4
Jul,8.5,Stevens,Debris Burn,48.017813,-117.706273,1,8,2
Jul,38.0,Klickitat,Miscellaneou,45.772574,-120.997426,4,5,3
Jul,1325.0,King,Logging,47.136302,-121.417389,2,4,6
Jul,1150.0,Chelan,Miscellaneou,47.839132,-120.812723,2,5,6
Oct,88.0,Lewis,Debris Burn,46.538195,-122.202181,3,3,4
Mar,9.8,Stevens,Debris Burn,48.47633,-118.157875,1,7,2
Aug,850.0,Stevens,Miscellaneou,48.163236,-118.170704,1,7,6
Jun,13.0,Thurston,Miscellaneou,47.026772,-122.714644,2,3,3
Mar,7.0,Jefferson,Debris Burn,47.847376,-122.893699,2,3,2
Mar,8.0,Stevens,Debris Burn,48.503084,-117.989921,1,8,2
Apr,142.0,King,Debris Burn,47.306142,-122.15232,2,3,5
Jul,10.0,Skamania,Miscellaneou,45.713493,-121.801885,4,4,3
Aug,40.0,Spokane,Miscellaneou,47.807297,-117.413549,2,8,3
Oct,9.0,Pend Oreille,Debris Burn,48.360554,-117.271882,1,8,2
Aug,13000.0,Chelan,None,47.57031,-120.957155,2,5,8
Jul,17420.0,Asotin,Miscellaneou,46.25789,-117.17638,3,8,8
Nov,23.0,Lewis,Miscellaneou,46.541601,-122.228348,3,3,3
Jul,778.0,Chelan,None,47.602684,-120.830062,2,5,6
Aug,772.0,Spokane,Miscellaneou,47.785426,-117.526387,2,8,6
Aug,70.0,Spokane,Miscellaneou,47.592215,-117.538137,2,8,4
Aug,6.0,Klickitat,Lightning,45.932542,-121.105847,4,4,2
Oct,10.0,Stevens,Debris Burn,48.358707,-118.160979,1,7,3
Nov,75.0,Cowlitz,Debris Burn,46.380332,-122.60526,3,3,4
Aug,8.7,Okanogan,Lightning,48.382046,-119.720417,1,6,2
Aug,20.0,Stevens,Miscellaneou,47.905346,-117.678443,2,8,3
Feb,14.0,Grays Harbor,Debris Burn,47.178317,-123.519135,2,2,3
Aug,9.4,Stevens,Smoker,48.027032,-117.918811,1,8,2
Jun,12.2,Klickitat,Debris Burn,45.884387,-120.799218,4,5,3
May,8.0,Stevens,Debris Burn,48.006124,-118.304406,1,7,2
Sep,10.0,Thurston,Debris Burn,46.784466,-123.02152,3,2,3
Jul,104.0,Spokane,Miscellaneou,47.796292,-117.537356,2,8,5
Jun,20.0,Stevens,Lightning,48.980245,-117.678999,1,8,3
Aug,130.0,Spokane,Miscellaneou,47.92009,-117.420016,2,8,5
Jul,6.0,Mason,Arson,47.238701,-123.100498,2,2,2
Jul,210.0,Yakima,Miscellaneou,46.835109,-120.68978,3,5,5
Jul,7.0,Stevens,Lightning,48.701202,-117.881575,1,8,2
Oct,20.0,Clark,Debris Burn,45.919102,-122.459848,4,3,3
Oct,6.0,Clark,Debris Burn,45.919102,-122.459848,4,3,2
Oct,8.0,Okanogan,Recreation,48.804663,-119.655986,1,6,2
Jul,15.0,Ferry,Miscellaneou,48.523179,-118.192205,1,7,3
Aug,6.0,Lewis,Debris Burn,46.438182,-122.980096,3,3,2
Aug,6.0,Lewis,Debris Burn,46.438182,-122.980096,3,3,2
Aug,460.0,Stevens,Debris Burn,48.141222,-117.728451,1,8,5
Aug,35.0,Clark,Children,45.63392,-122.51394,4,3,3
Aug,350.0,Okanogan,Miscellaneou,48.328441,-119.643621,1,6,5
Oct,6.0,Lewis,Debris Burn,46.573757,-122.622704,3,3,2
Mar,8.8,Stevens,Debris Burn,48.275828,-117.66405,1,8,2
Apr,7.0,Stevens,Debris Burn,48.257242,-117.750798,1,8,2
Jul,16.0,Skamania,Debris Burn,45.658199,-122.136511,4,3,3
Sep,8.0,Stevens,Railroad,48.667959,-118.042925,1,7,2
Mar,20.0,Ferry,Debris Burn,48.742496,-118.688943,1,7,3
Aug,9.0,Thurston,Arson,46.787469,-122.702291,3,3,2
May,8.0,Grays Harbor,Logging,47.242918,-124.155136,2,1,2
Jul,507.0,Okanogan,Miscellaneou,48.916416,-119.638039,1,6,6
Jun,8.0,Skagit,Arson,48.455415,-122.185056,1,3,2
Aug,750.0,Stevens,Miscellaneou,48.114208,-118.161166,1,7,6
Aug,38.0,Spokane,Miscellaneou,47.854839,-117.365435,2,8,3
Aug,10.0,Spokane,Lightning,47.363957,-117.598982,2,8,3
Jul,80.0,Yakima,Miscellaneou,46.733472,-120.671031,3,5,4
Jun,10.0,Skagit,Debris Burn,48.473413,-122.129206,1,3,3
Aug,36.0,Okanogan,Lightning,48.702477,-118.987537,1,7,3
Aug,6.0,Okanogan,Lightning,48.206296,-120.065459,1,5,2
Aug,30.0,Klickitat,Lightning,45.872949,-120.653868,4,5,3
Jun,11.0,Cowlitz,Debris Burn,46.258958,-122.956138,3,3,3
Mar,6.0,Pend Oreille,Lightning,48.316795,-117.271986,1,8,2
Aug,6.0,Okanogan,Miscellaneou,48.952232,-119.649184,1,6,2
Jul,40.0,Garfield,Lightning,46.270156,-117.448298,3,8,3
Jun,40.0,Spokane,Railroad,47.407609,-117.642457,2,8,3
Aug,39.0,Pacific,Debris Burn,46.671585,-123.60055,3,2,3
Jul,40.0,Ferry,Lightning,48.570145,-118.789457,1,7,3
Sep,1097.0,Okanogan,Miscellaneou,48.093612,-120.044295,1,5,6
Apr,38.0,Okanogan,Recreation,48.561378,-118.989917,1,7,3
Sep,143.0,Pierce,Debris Burn,46.814718,-122.01344,3,3,5
Sep,6.0,Stevens,Miscellaneou,48.392719,-118.092886,1,7,2
Aug,50.0,Okanogan,Miscellaneou,48.475019,-119.548853,1,6,4
Sep,8.0,Jefferson,Debris Burn,47.540967,-124.143344,2,1,2
Nov,7.5,Cowlitz,Logging,46.105219,-122.318515,3,3,2
Jul,7.2,Klickitat,Miscellaneou,45.880884,-120.882416,4,5,2
Oct,80.0,Stevens,Debris Burn,48.458144,-118.072294,1,7,4
Aug,8.0,Klickitat,Arson,45.730973,-121.145016,4,4,2
Sep,9.0,Spokane,Recreation,48.008471,-117.325341,1,8,2
Sep,48.5,Clallam,Debris Burn,48.063451,-123.304616,1,2,3
Aug,22.0,Okanogan,Miscellaneou,48.492342,-120.190039,1,5,3
Oct,10.0,Clark,Debris Burn,45.792289,-122.674592,4,3,3
May,88.5,Skamania,Debris Burn,46.09663,-122.062287,3,3,4
Aug,500.0,Spokane,Railroad,47.693548,-117.485901,2,8,6
Jun,5.5,Skamania,Debris Burn,46.076692,-122.173927,3,3,2
Jul,5400.0,Okanogan,Lightning,48.758032,-119.508476,1,6,7
Jul,7.3,Klickitat,Debris Burn,45.874663,-120.583414,4,5,2
Jul,15.0,Chelan,Recreation,47.943491,-120.053226,2,5,3
Sep,12.0,Island,Debris Burn,47.991625,-122.520835,2,3,3
Jul,75.0,Asotin,Recreation,46.02883,-117.142159,3,8,4
Aug,9.5,Yakima,Debris Burn,46.751393,-120.780419,3,5,2
May,6.1,Mason,Debris Burn,47.134827,-123.419276,2,2,2
Jun,11.0,San Juan,Miscellaneou,48.458561,-122.984893,1,3,3
Sep,6.0,Spokane,Railroad,47.451079,-117.577896,2,8,2
Jun,100.0,Spokane,Miscellaneou,47.529219,-117.465163,2,8,5
Jul,9.5,Lincoln,Lightning,47.823006,-117.995151,2,8,2
Mar,6.4,Lewis,Debris Burn,46.682507,-123.246556,3,2,2
Jun,215.0,Yakima,Miscellaneou,46.804883,-121.003236,3,4,5
Sep,14.0,Klickitat,Recreation,45.903753,-120.646196,4,5,3
Aug,433.0,Okanogan,Lightning,48.127442,-119.894904,1,6,5
Aug,450.0,Okanogan,Lightning,48.127442,-119.894904,1,6,5
Jul,50.0,Spokane,Children,47.753357,-117.456328,2,8,4
May,14.0,Okanogan,Miscellaneou,48.863547,-119.399264,1,6,3
Sep,380.0,Lewis,Debris Burn,46.498037,-122.509324,3,3,5
Apr,8.0,Spokane,Debris Burn,47.51986,-117.338757,2,8,2
Apr,9.8,Spokane,Debris Burn,47.780342,-117.593553,2,8,2
Oct,10.0,Skamania,Debris Burn,45.760457,-121.845586,4,4,3
May,31.6,Grays Harbor,Debris Burn,47.308445,-123.779742,2,2,3
Oct,20.0,Okanogan,Miscellaneou,48.56255,-119.471681,1,6,3
Aug,210.0,Ferry,Lightning,48.960527,-118.601071,1,7,5
Aug,7.4,Mason,Debris Burn,47.265733,-123.175023,2,2,2
May,8.6,Whatcom,Debris Burn,48.991317,-122.106886,1,3,2
Sep,9.5,Stevens,Miscellaneou,48.114471,-117.81212,1,8,2
Aug,25.0,Clallam,Children,48.151874,-123.15037,1,2,3
Aug,6.0,Lewis,Debris Burn,46.66462,-122.916295,3,3,2
Jun,250.0,Douglas,Miscellaneou,48.083726,-119.765886,1,6,5
Jun,12.0,Klickitat,Recreation,45.872676,-120.5554,4,5,3
Sep,135.0,Yakima,Arson,46.558205,-120.976974,3,5,5
Oct,10.0,Snohomish,Recreation,47.800377,-121.640885,2,4,3
Aug,5.2,Okanogan,Debris Burn,48.575438,-119.033734,1,6,2
Aug,60.0,Spokane,Lightning,47.290746,-117.550203,2,8,4
Jun,8.5,Spokane,Lightning,47.290746,-117.550203,2,8,2
Aug,15.0,Clark,Miscellaneou,45.940188,-122.54322,4,3,3
Jul,17.0,Spokane,Miscellaneou,47.589235,-117.653131,2,8,3
Apr,73.0,Skagit,Debris Burn,48.486453,-121.60151,1,4,4
May,140.0,Pacific,Debris Burn,46.756877,-123.966597,3,2,5
Jun,14.0,Klickitat,Miscellaneou,45.667691,-121.205108,4,4,3
Jul,11.0,Thurston,Recreation,46.872474,-122.687257,3,3,3
Aug,30.5,Spokane,Miscellaneou,47.751259,-117.421797,2,8,3
Aug,100.0,Klickitat,Miscellaneou,45.682505,-121.204815,4,4,5
Feb,13.0,King,Debris Burn,47.477613,-121.769113,2,4,3
Oct,7.0,Yakima,Recreation,46.795819,-120.979822,3,5,2
Sep,28.0,Thurston,Children,46.896163,-122.7366,3,3,3
Jul,9.0,Okanogan,Recreation,48.494804,-119.67124,1,6,2
Mar,22.0,Lewis,Debris Burn,46.407277,-122.660475,3,3,3
Aug,7.0,Thurston,Railroad,46.887111,-122.728688,3,3,2
Jul,175114.0,Okanogan,None,48.503482,-120.0462,1,5,9
Jul,23.0,Pierce,Miscellaneou,47.001377,-122.413887,2,3,3
Aug,7.5,Stevens,Arson,48.172111,-118.162553,1,7,2
Jan,290.0,King,Debris Burn,47.272207,-121.898437,2,4,5
Oct,445.0,Chelan,Debris Burn,47.574465,-120.420853,2,5,5
Jun,90.0,Grays Harbor,Debris Burn,47.481509,-124.125963,2,1,4
Jul,25.0,Chelan,Lightning,47.456863,-120.354264,2,5,3
Apr,12.0,Pend Oreille,Debris Burn,48.68333,-117.375061,1,8,3
Apr,7.0,Grays Harbor,Debris Burn,47.12892,-123.768426,2,2,2
Jul,22.0,Klickitat,Miscellaneou,45.71933,-121.391282,4,4,3
Jul,75.0,Spokane,Children,47.691802,-117.633459,2,8,4
Oct,11.0,Cowlitz,Debris Burn,46.056213,-122.336068,3,3,3
Aug,19.0,Stevens,Debris Burn,48.690273,-117.941797,1,8,3
May,22.0,Skamania,Debris Burn,45.830774,-121.917328,4,4,3
